Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
3,0.88,0.96,0.78
4,0.94,0.91,0.92
3,0.58,0.62,0.73
3,0.79,0.73,0.65
4,0.9,0.94,0.92
3,0.9,0.89,0.86
4,0.87,0.8,0.88
4,0.86,0.8,0.72
3,0.82,0.84,0.75
3,0.85,0.86,0.73
4,0.76,0.65,0.75
4,1,1,1
3,0.79,0.76,0.7
3,0.82,0.79,0.79
2,0.92,0.95,0.85
3,0.93,0.89,0.85
2,0.88,0.85,0.85
3,0.88,0.97,0.9
4,0.88,0.89,0.71
4,0.92,0.94,0.84
4,0.79,0.65,0.74
3,0.88,0.86,0.77
4,0.89,0.83,0.84
4,0.78,0.79,0.84
4,0.91,0.89,0.84
4,0.86,0.83,0.88
4,0.95,0.94,0.92
3,0.86,0.82,0.85
4,0.94,0.95,0.91
4,0.95,0.93,0.92
4,0.92,0.96,0.91
3,0.94,0.91,0.89
4,0.93,0.91,0.96
4,0.96,0.91,0.94
4,0.93,0.91,0.92
4,0.87,0.86,0.74
3,0.76,0.79,0.67
4,0.93,0.94,0.83
3,0.92,0.92,0.87
4,0.71,0.72,0.8
4,0.92,0.93,0.83
4,0.94,0.93,0.91
4,0.82,0.88,0.77
4,0.97,0.91,0.91
4,0.94,0.92,0.91
4,0.87,0.8,0.77
4,0.82,0.8,0.76
4,0.94,0.96,0.8
4,0.85,0.86,0.86
3,0.76,0.76,0.74
3,0.99,0.96,0.98
2,0.87,0.86,0.72
2,0.88,0.89,0.76
3,0.93,0.89,0.9
4,0.98,0.97,0.89
4,0.87,0.79,0.76
3,0.91,0.89,0.88
3,0.87,0.88,0.74
4,0.91,0.94,0.81
3,0.97,0.96,0.96
4,0.86,0.82,0.76
3,0.7,0.69,0.67
3,0.85,0.84,0.82
2,0.94,0.97,0.86
4,0.89,0.85,0.7
3,0.87,0.9,0.74
3,0.74,0.59,0.6
4,0.97,0.99,0.84
2,0.59,0.65,0.59
4,0.89,0.92,0.79
4,0.85,0.91,0.75
4,0.97,0.99,0.98
4,0.85,0.79,0.76
4,0.93,0.87,0.88
2,0.91,0.86,0.89
3,0.81,0.91,0.83
4,0.89,0.76,0.9
2,0.78,0.74,0.73
2,0.61,0.52,0.6
3,0.76,0.79,0.79
3,0.76,0.73,0.74
4,0.9,0.85,0.88
3,0.77,0.75,0.7
2,0.86,0.82,0.79
4,0.94,0.86,0.94
2,0.8,0.75,0.65
2,0.65,0.76,0.61
3,0.7,0.77,0.64
4,0.98,0.95,0.91
4,0.91,0.83,0.82
4,0.89,0.84,0.85
4,0.88,0.98,0.82
3,0.84,0.94,0.74
4,0.92,0.95,0.82
3,0.82,0.75,0.73
4,0.9,0.87,0.83
2,0.82,0.79,0.68
3,0.9,0.93,0.79
4,0.98,0.99,0.95
4,0.91,0.97,0.84
3,0.71,0.58,0.63
4,0.88,0.9,0.81
4,0.74,0.71,0.71
4,0.93,0.83,0.82
3,0.83,0.87,0.77
3,0.64,0.74,0.65
3,0.66,0.58,0.66
3,0.84,0.81,0.73
3,0.88,0.86,0.75
4,0.88,0.85,0.82
2,0.62,0.6,0.64
3,0.79,0.8,0.71
2,0.76,0.69,0.68
3,0.62,0.58,0.62
2,0.77,0.76,0.76
4,0.92,0.88,0.88
3,0.86,0.83,0.82
3,0.78,0.8,0.72
3,0.84,0.76,0.72
3,0.83,0.83,0.72
3,0.8,0.73,0.7
3,0.84,0.83,0.73
3,0.87,0.94,0.72
2,0.94,0.68,0.92
3,0.93,0.96,0.84
3,0.78,0.71,0.73
4,0.92,0.93,0.8
3,0.74,0.81,0.68
2,0.77,0.73,0.67
2,0.75,0.74,0.73
4,0.82,0.85,0.8
2,0.72,0.76,0.68
4,0.87,0.94,0.83
2,0.88,0.83,0.72
3,0.72,0.79,0.61
3,0.84,0.84,0.86
3,0.9,0.85,0.86
3,0.82,0.8,0.76
3,0.8,0.88,0.78
1,0.59,0.49,0.48
3,0.82,0.85,0.7
2,0.78,0.82,0.73
2,0.75,0.72,0.81
