Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
Meeting Target,0.88,0.96,0.78
Exceeding Target,0.94,0.91,0.92
Meeting Target,0.58,0.62,0.73
Meeting Target,0.79,0.73,0.65
Exceeding Target,0.9,0.94,0.92
Meeting Target,0.9,0.89,0.86
Exceeding Target,0.87,0.8,0.88
Exceeding Target,0.86,0.8,0.72
Meeting Target,0.82,0.84,0.75
Meeting Target,0.85,0.86,0.73
Exceeding Target,0.76,0.65,0.75
Exceeding Target,1,1,1
Meeting Target,0.79,0.76,0.7
Meeting Target,0.82,0.79,0.79
Approaching Target,0.92,0.95,0.85
Meeting Target,0.93,0.89,0.85
Approaching Target,0.88,0.85,0.85
Meeting Target,0.88,0.97,0.9
Exceeding Target,0.88,0.89,0.71
Exceeding Target,0.92,0.94,0.84
Exceeding Target,0.79,0.65,0.74
Meeting Target,0.88,0.86,0.77
Exceeding Target,0.89,0.83,0.84
Exceeding Target,0.78,0.79,0.84
Exceeding Target,0.91,0.89,0.84
Exceeding Target,0.86,0.83,0.88
Exceeding Target,0.95,0.94,0.92
Meeting Target,0.86,0.82,0.85
Exceeding Target,0.94,0.95,0.91
Exceeding Target,0.95,0.93,0.92
Exceeding Target,0.92,0.96,0.91
Meeting Target,0.94,0.91,0.89
Exceeding Target,0.93,0.91,0.96
Exceeding Target,0.96,0.91,0.94
Exceeding Target,0.93,0.91,0.92
Exceeding Target,0.87,0.86,0.74
Meeting Target,0.76,0.79,0.67
Exceeding Target,0.93,0.94,0.83
Meeting Target,0.92,0.92,0.87
Exceeding Target,0.71,0.72,0.8
Exceeding Target,0.92,0.93,0.83
Exceeding Target,0.94,0.93,0.91
Exceeding Target,0.82,0.88,0.77
Exceeding Target,0.97,0.91,0.91
Exceeding Target,0.94,0.92,0.91
Exceeding Target,0.87,0.8,0.77
Exceeding Target,0.82,0.8,0.76
Exceeding Target,0.94,0.96,0.8
Exceeding Target,0.85,0.86,0.86
Meeting Target,0.76,0.76,0.74
Meeting Target,0.99,0.96,0.98
Approaching Target,0.87,0.86,0.72
Approaching Target,0.88,0.89,0.76
Meeting Target,0.93,0.89,0.9
Exceeding Target,0.98,0.97,0.89
Exceeding Target,0.87,0.79,0.76
Meeting Target,0.91,0.89,0.88
Meeting Target,0.87,0.88,0.74
Exceeding Target,0.91,0.94,0.81
Meeting Target,0.97,0.96,0.96
Exceeding Target,0.86,0.82,0.76
Meeting Target,0.7,0.69,0.67
Meeting Target,0.85,0.84,0.82
Approaching Target,0.94,0.97,0.86
Exceeding Target,0.89,0.85,0.7
Meeting Target,0.87,0.9,0.74
Meeting Target,0.74,0.59,0.6
Exceeding Target,0.97,0.99,0.84
Approaching Target,0.59,0.65,0.59
Exceeding Target,0.89,0.92,0.79
Exceeding Target,0.85,0.91,0.75
Exceeding Target,0.97,0.99,0.98
Exceeding Target,0.85,0.79,0.76
Exceeding Target,0.93,0.87,0.88
Approaching Target,0.91,0.86,0.89
Meeting Target,0.81,0.91,0.83
Exceeding Target,0.89,0.76,0.9
Approaching Target,0.78,0.74,0.73
Approaching Target,0.61,0.52,0.6
Meeting Target,0.76,0.79,0.79
Meeting Target,0.76,0.73,0.74
Exceeding Target,0.9,0.85,0.88
Meeting Target,0.77,0.75,0.7
Approaching Target,0.86,0.82,0.79
Exceeding Target,0.94,0.86,0.94
Approaching Target,0.8,0.75,0.65
Approaching Target,0.65,0.76,0.61
Meeting Target,0.7,0.77,0.64
Exceeding Target,0.98,0.95,0.91
Exceeding Target,0.91,0.83,0.82
Exceeding Target,0.89,0.84,0.85
Exceeding Target,0.88,0.98,0.82
Meeting Target,0.84,0.94,0.74
Exceeding Target,0.92,0.95,0.82
Meeting Target,0.82,0.75,0.73
Exceeding Target,0.9,0.87,0.83
Approaching Target,0.82,0.79,0.68
Meeting Target,0.9,0.93,0.79
Exceeding Target,0.98,0.99,0.95
Exceeding Target,0.91,0.97,0.84
Meeting Target,0.71,0.58,0.63
Exceeding Target,0.88,0.9,0.81
Exceeding Target,0.74,0.71,0.71
Exceeding Target,0.93,0.83,0.82
Meeting Target,0.83,0.87,0.77
Meeting Target,0.64,0.74,0.65
Meeting Target,0.66,0.58,0.66
Meeting Target,0.84,0.81,0.73
Meeting Target,0.88,0.86,0.75
Exceeding Target,0.88,0.85,0.82
Approaching Target,0.62,0.6,0.64
Meeting Target,0.79,0.8,0.71
Approaching Target,0.76,0.69,0.68
Meeting Target,0.62,0.58,0.62
Approaching Target,0.77,0.76,0.76
Exceeding Target,0.92,0.88,0.88
Meeting Target,0.86,0.83,0.82
Meeting Target,0.78,0.8,0.72
Meeting Target,0.84,0.76,0.72
Meeting Target,0.83,0.83,0.72
